open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2023-03-07 12:00:00,22351.02000000,22410.20000000,22335.36000000,22399.07000000,8470.94616000,2023-03-07 12:59:59.999,189549523.01907030,249439,4432.34033000,99181730.04163680,0
2023-03-07 13:00:00,22399.07000000,22410.00000000,22354.10000000,22363.89000000,8071.28679000,2023-03-07 13:59:59.999,180701768.75694630,244773,3985.56404000,89231528.70310050,0
2023-03-07 14:00:00,22363.53000000,22383.58000000,22200.32000000,22309.18000000,21090.97003000,2023-03-07 14:59:59.999,470763854.30934260,506415,10400.52483000,232166180.24692140,0
2023-03-07 15:00:00,22309.18000000,22489.88000000,21927.00000000,22320.90000000,59648.47568000,2023-03-07 15:59:59.999,1324882983.36818470,1232503,29529.48580000,656003857.46188670,0
2023-03-07 16:00:00,22321.98000000,22394.08000000,22192.84000000,22238.77000000,21822.97104000,2023-03-07 16:59:59.999,486421506.67950260,577856,10731.91627000,239212141.24818980,0
2023-03-07 17:00:00,22238.77000000,22360.00000000,22224.96000000,22309.28000000,15164.53002000,2023-03-07 17:59:59.999,338222353.52297010,446306,7702.86444000,171804258.58886490,0
2023-03-07 18:00:00,22308.25000000,22331.49000000,22160.64000000,22199.96000000,13467.03162000,2023-03-07 18:59:59.999,299634692.11584060,384483,6562.92999000,146024968.96816490,0
2023-03-07 19:00:00,22198.49000000,22249.98000000,22054.92000000,22124.77000000,11681.71560000,2023-03-07 19:59:59.999,259187269.87602420,339055,5824.78880000,129238436.98209630,0
2023-03-07 20:00:00,22125.99000000,22145.29000000,21996.00000000,22054.51000000,19088.27298000,2023-03-07 20:59:59.999,421353784.16365780,424115,9250.81430000,204215384.45260900,0
2023-03-07 21:00:00,22055.64000000,22116.66000000,21943.00000000,22056.26000000,12708.13147000,2023-03-07 21:59:59.999,280056004.86726060,334598,6284.04440000,138490378.89976250,0
2023-03-07 22:00:00,22055.95000000,22122.22000000,21981.64000000,22105.65000000,7923.57217000,2023-03-07 22:59:59.999,174825937.33091420,236751,4111.98648000,90732429.37241230,0
2023-03-07 23:00:00,22105.65000000,22230.51000000,22075.51000000,22197.96000000,8744.93252000,2023-03-07 23:59:59.999,193774372.31541630,254182,4398.74319000,97473331.55334020,0
2023-03-08 00:00:00,22198.56000000,22287.00000000,22190.32000000,22245.86000000,9321.72502000,2023-03-08 00:59:59.999,207288657.90369480,302122,4593.90393000,102159270.45725970,0
2023-03-08 01:00:00,22245.86000000,22256.66000000,22136.84000000,22173.70000000,7768.19630000,2023-03-08 01:59:59.999,172512275.78735130,263864,3932.62841000,87330595.62289280,0
2023-03-08 02:00:00,22174.57000000,22211.30000000,22158.37000000,22177.00000000,5678.44763000,2023-03-08 02:59:59.999,125979122.01556220,217289,2871.16345000,63699453.78493300,0
2023-03-08 03:00:00,22177.00000000,22191.73000000,22084.30000000,22152.52000000,7387.15207000,2023-03-08 03:59:59.999,163543919.09256770,237974,3631.06788000,80387587.47739270,0
2023-03-08 04:00:00,22152.52000000,22167.73000000,22105.18000000,22141.79000000,5712.12814000,2023-03-08 04:59:59.999,126447522.79974580,191504,2878.50424000,63721595.60296550,0
2023-03-08 05:00:00,22141.79000000,22147.73000000,21840.13000000,21954.98000000,19927.47105000,2023-03-08 05:59:59.999,438369819.62284260,461036,9633.24942000,211922461.04369580,0
2023-03-08 06:00:00,21954.31000000,22051.62000000,21930.20000000,22025.63000000,12447.40555000,2023-03-08 06:59:59.999,273814550.07786110,310014,6289.59451000,138361965.54281460,0
2023-03-08 07:00:00,22025.63000000,22039.15000000,21961.17000000,21971.03000000,8984.56836000,2023-03-08 07:59:59.999,197716134.57953900,244970,4378.64556000,96360346.51924410,0
2023-03-08 08:00:00,21971.83000000,22034.16000000,21944.55000000,21989.14000000,10047.60801000,2023-03-08 08:59:59.999,220955579.73159210,283107,5187.21068000,114075633.03028660,0
2023-03-08 09:00:00,21989.14000000,22030.00000000,21974.50000000,22012.75000000,8151.38201000,2023-03-08 09:59:59.999,179325195.75979040,224677,4086.42799000,89902021.52689450,0
2023-03-08 10:00:00,22012.75000000,22144.20000000,22001.00000000,22111.25000000,13368.51293000,2023-03-08 10:59:59.999,295062509.26335670,333452,6742.96715000,148828262.85103390,0
